             kx             ky    energy_plus   energy_minus
         -0.899         -0.051         -4.450          7.016
         -0.899         -0.030         -4.470          7.068
         -0.899         -0.010         -4.480          7.095
         -0.899          0.010         -4.480          7.095
         -0.899          0.030         -4.470          7.068
         -0.899          0.051         -4.450          7.016
         -0.899          0.071         -4.419          6.938
         -0.899          0.091         -4.379          6.835
         -0.899          0.111         -4.328          6.709
         -0.899          0.131         -4.268          6.561
         -0.899          0.152         -4.198          6.392
         -0.899          0.172         -4.120          6.205
         -0.899          0.192         -4.032          6.002
         -0.899          0.212         -3.936          5.785
         -0.899          0.232         -3.833          5.557
         -0.899          0.253         -3.723          5.320
         -0.899          0.273         -3.607          5.078
         -0.899          0.293         -3.487          4.834
         -0.899          0.313         -3.364          4.591
         -0.899          0.333         -3.240          4.353
         -0.899          0.354         -3.118          4.125
         -0.899          0.374         -3.000          3.912
         -0.899          0.394         -2.890          3.717
         -0.899          0.414         -2.792          3.548
         -0.899          0.434         -2.709          3.408
         -0.899          0.455         -2.647          3.305
         -0.899          0.475         -2.609          3.242
         -0.899          0.495         -2.598          3.225
         -0.899          0.515         -2.617          3.255
         -0.899          0.535         -2.664          3.333
         -0.899          0.556         -2.739          3.458
         -0.899          0.576         -2.838          3.628
         -0.899          0.596         -2.959          3.838
         -0.899          0.616         -3.096          4.085
         -0.899          0.636         -3.246          4.364
         -0.899          0.657         -3.405          4.671
         -0.899          0.677         -3.570          5.002
         -0.899          0.697         -3.739          5.354
         -0.899          0.717         -3.908          5.722
         -0.899          0.737         -4.076          6.104
         -0.899          0.758         -4.242          6.497
         -0.899          0.778         -4.403          6.898
         -0.899          0.798         -4.560          7.302
         -0.899          0.818         -4.710          7.709
         -0.899          0.838         -4.854          8.114
         -0.899          0.859         -4.991          8.514
         -0.899          0.879         -5.120          8.907
         -0.899          0.899         -5.241          9.289
         -0.899          0.919         -5.353          9.658
         -0.899          0.939         -5.457         10.010
         -0.899          0.960         -5.552         10.342
         -0.899          0.980         -5.638         10.651
         -0.899          1.000         -5.714         10.935
  
         -0.879         -1.000         -5.818         11.331
         -0.879         -0.980         -5.741         11.038
         -0.879         -0.960         -5.656         10.717
         -0.879         -0.939         -5.561         10.373
         -0.879         -0.919         -5.457         10.009
         -0.879         -0.899         -5.344          9.627
         -0.879         -0.879         -5.222          9.231
         -0.879         -0.859         -5.093          8.823
         -0.879         -0.838         -4.955          8.408
         -0.879         -0.818         -4.810          7.987
         -0.879         -0.798         -4.657          7.564
         -0.879         -0.778         -4.499          7.141
         -0.879         -0.758         -4.334          6.723
         -0.879         -0.737         -4.164          6.311
         -0.879         -0.717         -3.991          5.909
         -0.879         -0.697         -3.816          5.519
         -0.879         -0.677         -3.639          5.144
         -0.879         -0.657         -3.465          4.788
         -0.879         -0.636         -3.294          4.455
         -0.879         -0.616         -3.130          4.147
         -0.879         -0.596         -2.976          3.869
         -0.879         -0.576         -2.837          3.625
         -0.879         -0.556         -2.716          3.419
         -0.879         -0.535         -2.618          3.256
         -0.879         -0.515         -2.546          3.139
         -0.879         -0.495         -2.503          3.071
         -0.879         -0.475         -2.491          3.051
         -0.879         -0.455         -2.509          3.080
         -0.879         -0.434         -2.554          3.152
         -0.879         -0.414         -2.622          3.264
         -0.879         -0.394         -2.710          3.410
         -0.879         -0.374         -2.813          3.584
         -0.879         -0.354         -2.925          3.779
         -0.879         -0.333         -3.045          3.991
         -0.879         -0.313         -3.167          4.215
         -0.879         -0.293         -3.289          4.445
         -0.879         -0.273         -3.409          4.678
         -0.879         -0.253         -3.525          4.910
         -0.879         -0.232         -3.636          5.137
         -0.879         -0.212         -3.740          5.357
         -0.879         -0.192         -3.837          5.566
         -0.879         -0.172         -3.926          5.762
         -0.879         -0.152         -4.006          5.942
         -0.879         -0.131         -4.077          6.105
         -0.879         -0.111         -4.138          6.248
         -0.879         -0.091         -4.189          6.370
         -0.879         -0.071         -4.230          6.469
         -0.879         -0.051         -4.261          6.545
         -0.879         -0.030         -4.282          6.596
         -0.879         -0.010         -4.293          6.621
         -0.879          0.010         -4.293          6.621
         -0.879          0.030         -4.282          6.596
         -0.879          0.051         -4.261          6.545
         -0.879          0.071         -4.230          6.469
         -0.879          0.091         -4.189          6.370
         -0.879          0.111         -4.138          6.248
         -0.879          0.131         -4.077          6.105
         -0.879          0.152         -4.006          5.942
         -0.879          0.172         -3.926          5.762
         -0.879          0.192         -3.837          5.566
         -0.879          0.212         -3.740          5.357
         -0.879          0.232         -3.636          5.137
         -0.879          0.253         -3.525          4.910
         -0.879          0.273         -3.409          4.678
         -0.879          0.293         -3.289          4.445
         -0.879          0.313         -3.167          4.215
         -0.879          0.333         -3.045          3.991
         -0.879          0.354         -2.925          3.779
         -0.879          0.374         -2.813          3.584
         -0.879          0.394         -2.710          3.410
         -0.879          0.414         -2.622          3.264
         -0.879          0.434         -2.554          3.152
         -0.879          0.455         -2.509          3.080
         -0.879          0.475         -2.491          3.051
         -0.879          0.495         -2.503          3.071
         -0.879          0.515         -2.546          3.139
         -0.879          0.535         -2.618          3.256
         -0.879          0.556         -2.716          3.419
         -0.879          0.576         -2.837          3.625
         -0.879          0.596         -2.976          3.869
         -0.879          0.616         -3.130          4.147
         -0.879          0.636         -3.294          4.455
         -0.879          0.657         -3.465          4.788
         -0.879          0.677         -3.639          5.144
         -0.879          0.697         -3.816          5.519
         -0.879          0.717         -3.991          5.909
         -0.879          0.737         -4.164          6.311
         -0.879          0.758         -4.334          6.723
         -0.879          0.778         -4.499          7.141
         -0.879          0.798         -4.657          7.564
         -0.879          0.818         -4.810          7.987
         -0.879          0.838         -4.955          8.408
         -0.879          0.859         -5.093          8.823
         -0.879          0.879         -5.222          9.231
         -0.879          0.899         -5.344          9.627
         -0.879          0.919         -5.457         10.009
         -0.879          0.939         -5.561         10.373
         -0.879          0.960         -5.656         10.717
         -0.879          0.980         -5.741         11.038
         -0.879          1.000         -5.818         11.331
  
         -0.859         -1.000         -5.913         11.704
         -0.859         -0.980         -5.836         11.400
         -0.859         -0.960         -5.750         11.070
         -0.859         -0.939         -5.655         10.715
         -0.859         -0.919         -5.551         10.338
         -0.859         -0.899         -5.437          9.943
         -0.859         -0.879         -5.316          9.534
         -0.859         -0.859         -5.185          9.112
         -0.859         -0.838         -5.047          8.682
         -0.859         -0.818         -4.900          8.246
         -0.859         -0.798         -4.746          7.807
         -0.859         -0.778         -4.585          7.369
