              k             kx             ky         energy
              k             kx             ky            wf1            wf2            wf3            wf4            wf5            wf6            wf7            wf8
         -2.047         -0.000         -2.047        -14.889        -13.175         -8.565         -1.340          1.495          9.882         10.432         20.314
         -2.042         -0.000         -2.042        -14.892        -13.171         -8.565         -1.344          1.499          9.885         10.427         20.314
         -2.037         -0.000         -2.037        -14.895        -13.166         -8.565         -1.347          1.504          9.889         10.423         20.313
         -2.032         -0.000         -2.032        -14.899        -13.161         -8.565         -1.352          1.509          9.892         10.419         20.313
         -2.026         -0.000         -2.026        -14.902        -13.157         -8.564         -1.356          1.515          9.896         10.414         20.312
         -2.021         -0.000         -2.021        -14.905        -13.152         -8.564         -1.360          1.520          9.900         10.410         20.312
         -2.016         -0.000         -2.016        -14.909        -13.147         -8.564         -1.364          1.525          9.903         10.405         20.311
         -2.011         -0.000         -2.011        -14.913        -13.142         -8.564         -1.369          1.531          9.907         10.401         20.310
         -2.005         -0.000         -2.005        -14.916        -13.137         -8.564         -1.373          1.537          9.911         10.397         20.310
         -2.000         -0.000         -2.000        -14.920        -13.132         -8.563         -1.378          1.543          9.914         10.392         20.309
         -1.995         -0.000         -1.995        -14.923        -13.127         -8.563         -1.383          1.548          9.918         10.388         20.308
         -1.990         -0.000         -1.990        -14.927        -13.122         -8.562         -1.388          1.554          9.922         10.383         20.307
         -1.984         -0.000         -1.984        -14.931        -13.117         -8.562         -1.392          1.561          9.925         10.379         20.306
         -1.979         -0.000         -1.979        -14.935        -13.112         -8.562         -1.397          1.567          9.929         10.375         20.304
         -1.974         -0.000         -1.974        -14.939        -13.107         -8.561         -1.402          1.573          9.933         10.370         20.303
         -1.969         -0.000         -1.969        -14.942        -13.102         -8.560         -1.408          1.580          9.936         10.366         20.302
         -1.963         -0.000         -1.963        -14.946        -13.097         -8.560         -1.413          1.586          9.940         10.362         20.300
         -1.958         -0.000         -1.958        -14.950        -13.091         -8.559         -1.418          1.593          9.944         10.358         20.299
         -1.953         -0.000         -1.953        -14.954        -13.086         -8.559         -1.423          1.600          9.947         10.353         20.298
         -1.948         -0.000         -1.948        -14.958        -13.081         -8.558         -1.429          1.607          9.951         10.349         20.296
         -1.943         -0.000         -1.943        -14.962        -13.075         -8.557         -1.434          1.614          9.954         10.345         20.294
         -1.937         -0.000         -1.937        -14.966        -13.070         -8.556         -1.440          1.621          9.958         10.341         20.293
         -1.932         -0.000         -1.932        -14.970        -13.065         -8.555         -1.446          1.628          9.962         10.337         20.291
         -1.927         -0.000         -1.927        -14.974        -13.059         -8.554         -1.451          1.635          9.965         10.333         20.289
         -1.922         -0.000         -1.922        -14.979        -13.054         -8.554         -1.457          1.642          9.969         10.329         20.287
         -1.916         -0.000         -1.916        -14.983        -13.048         -8.553         -1.463          1.650          9.972         10.325         20.285
         -1.911         -0.000         -1.911        -14.987        -13.042         -8.552         -1.469          1.657          9.975         10.321         20.283
         -1.906         -0.000         -1.906        -14.991        -13.037         -8.551         -1.475          1.665          9.979         10.317         20.281
         -1.901         -0.000         -1.901        -14.995        -13.031         -8.549         -1.481          1.673          9.982         10.314         20.278
         -1.895         -0.000         -1.895        -15.000        -13.026         -8.548         -1.487          1.681          9.985         10.310         20.276
         -1.890         -0.000         -1.890        -15.004        -13.020         -8.547         -1.493          1.688          9.988         10.306         20.274
         -1.885         -0.000         -1.885        -15.008        -13.014         -8.546         -1.499          1.696          9.992         10.303         20.271
         -1.880         -0.000         -1.880        -15.012        -13.009         -8.545         -1.506          1.704          9.995         10.299         20.269
         -1.874         -0.000         -1.874        -15.017        -13.003         -8.543         -1.512          1.712          9.997         10.296         20.266
         -1.869         -0.000         -1.869        -15.021        -12.997         -8.542         -1.518          1.721         10.000         10.293         20.264
         -1.864         -0.000         -1.864        -15.025        -12.992         -8.541         -1.525          1.729         10.003         10.290         20.261
         -1.859         -0.000         -1.859        -15.030        -12.986         -8.539         -1.531          1.737         10.006         10.287         20.258
         -1.854         -0.000         -1.854        -15.034        -12.980         -8.538         -1.538          1.745         10.008         10.284         20.255
         -1.848         -0.000         -1.848        -15.039        -12.974         -8.536         -1.544          1.754         10.011         10.281         20.252
         -1.843         -0.000         -1.843        -15.043        -12.968         -8.535         -1.551          1.762         10.013         10.279         20.249
         -1.838         -0.000         -1.838        -15.048        -12.963         -8.533         -1.557          1.771         10.015         10.277         20.246
         -1.833         -0.000         -1.833        -15.052        -12.957         -8.532         -1.564          1.780         10.017         10.274         20.243
         -1.827         -0.000         -1.827        -15.056        -12.951         -8.530         -1.571          1.788         10.018         10.273         20.240
         -1.822         -0.000         -1.822        -15.061        -12.945         -8.528         -1.578          1.797         10.020         10.271         20.237
         -1.817         -0.000         -1.817        -15.065        -12.939         -8.526         -1.584          1.806         10.021         10.269         20.234
         -1.812         -0.000         -1.812        -15.070        -12.934         -8.525         -1.591          1.815         10.022         10.268         20.230
         -1.806         -0.000         -1.806        -15.074        -12.928         -8.523         -1.598          1.824         10.023         10.267         20.227
         -1.801         -0.000         -1.801        -15.079        -12.922         -8.521         -1.605          1.833         10.024         10.266         20.223
         -1.796         -0.000         -1.796        -15.083        -12.916         -8.519         -1.612          1.842         10.024         10.265         20.220
         -1.791         -0.000         -1.791        -15.088        -12.910         -8.517         -1.619          1.851         10.025         10.265         20.216
         -1.785         -0.000         -1.785        -15.092        -12.904         -8.515         -1.626          1.860         10.025         10.265         20.212
         -1.780         -0.000         -1.780        -15.097        -12.898         -8.513         -1.633          1.869         10.024         10.265         20.208
         -1.775         -0.000         -1.775        -15.101        -12.893         -8.511         -1.640          1.879         10.024         10.266         20.205
         -1.770         -0.000         -1.770        -15.106        -12.887         -8.509         -1.647          1.888         10.023         10.266         20.201
         -1.765         -0.000         -1.765        -15.111        -12.881         -8.507         -1.654          1.897         10.022         10.267         20.197
         -1.759         -0.000         -1.759        -15.115        -12.875         -8.504         -1.661          1.907         10.021         10.269         20.193
