              k             kx             ky
          0.924          0.667          0.231        -15.078        -13.054         -8.243         -1.784          2.069          9.459         11.049         19.747
          0.928          0.667          0.227        -15.096        -13.039         -8.219         -1.816          2.114          9.439         11.082         19.704
          0.931          0.667          0.223        -15.113        -13.025         -8.195         -1.849          2.157          9.420         11.116         19.660
          0.935          0.667          0.219        -15.130        -13.010         -8.171         -1.880          2.201          9.400         11.151         19.615
          0.939          0.667          0.216        -15.146        -12.997         -8.146         -1.911          2.243          9.381         11.186         19.570
          0.943          0.667          0.212        -15.163        -12.983         -8.122         -1.942          2.286          9.361         11.221         19.524
          0.947          0.667          0.208        -15.179        -12.971         -8.097         -1.972          2.327          9.342         11.256         19.478
          0.951          0.667          0.204        -15.194        -12.958         -8.071         -2.001          2.368          9.322         11.292         19.431
          0.955          0.667          0.200        -15.209        -12.946         -8.046         -2.030          2.409          9.303         11.328         19.384
          0.958          0.667          0.196        -15.224        -12.935         -8.021         -2.058          2.449          9.284         11.365         19.336
          0.962          0.667          0.192        -15.239        -12.924         -7.995         -2.086          2.488          9.265         11.402         19.287
          0.966          0.667          0.189        -15.253        -12.913         -7.970         -2.113          2.527          9.246         11.439         19.239
          0.970          0.667          0.185        -15.267        -12.903         -7.944         -2.140          2.565          9.227         11.476         19.190
          0.974          0.667          0.181        -15.280        -12.893         -7.919         -2.166          2.602          9.208         11.514         19.140
          0.978          0.667          0.177        -15.294        -12.883         -7.893         -2.191          2.639          9.190         11.552         19.091
          0.981          0.667          0.173        -15.307        -12.874         -7.868         -2.216          2.675          9.171         11.590         19.041
          0.985          0.667          0.169        -15.319        -12.865         -7.842         -2.241          2.711          9.153         11.628         18.991
          0.989          0.667          0.166        -15.332        -12.857         -7.817         -2.264          2.746          9.135         11.667         18.940
          0.993          0.667          0.162        -15.344        -12.849         -7.792         -2.288          2.780          9.117         11.706         18.890
          0.997          0.667          0.158        -15.355        -12.841         -7.767         -2.310          2.814          9.100         11.744         18.839
          1.001          0.667          0.154        -15.367        -12.834         -7.742         -2.332          2.847          9.082         11.783         18.789
          1.005          0.667          0.150        -15.378        -12.826         -7.717         -2.354          2.879          9.065         11.822         18.738
          1.008          0.667          0.146        -15.389        -12.820         -7.693         -2.375          2.910          9.049         11.861         18.688
          1.012          0.667          0.142        -15.399        -12.813         -7.669         -2.396          2.941          9.032         11.900         18.638
          1.016          0.667          0.139        -15.409        -12.807         -7.645         -2.415          2.971          9.016         11.938         18.587
          1.020          0.667          0.135        -15.419        -12.801         -7.621         -2.435          3.000          9.000         11.977         18.537
          1.024          0.667          0.131        -15.429        -12.795         -7.598         -2.454          3.029          8.984         12.016         18.488
          1.028          0.667          0.127        -15.438        -12.789         -7.575         -2.472          3.057          8.969         12.054         18.438
          1.032          0.667          0.123        -15.447        -12.784         -7.553         -2.490          3.084          8.954         12.092         18.389
