              k             kx             ky
          1.528          0.293          0.000         -5.554         10.530
          1.535          0.287          0.000         -5.600         10.693
          1.541          0.280          0.000         -5.644         10.854
          1.548          0.273          0.000         -5.687         11.015
          1.555          0.267          0.000         -5.729         11.173
          1.561          0.260          0.000         -5.770         11.331
          1.568          0.253          0.000         -5.810         11.486
          1.575          0.247          0.000         -5.849         11.639
          1.581          0.240          0.000         -5.887         11.790
          1.588          0.233          0.000         -5.923         11.939
          1.595          0.227          0.000         -5.959         12.086
          1.601          0.220          0.000         -5.994         12.230
          1.608          0.213          0.000         -6.028         12.372
          1.615          0.207          0.000         -6.061         12.511
          1.621          0.200          0.000         -6.092         12.647
          1.628          0.193          0.000         -6.123         12.780
          1.635          0.187          0.000         -6.153         12.909
          1.641          0.180          0.000         -6.181         13.036
          1.648          0.173          0.000         -6.209         13.159
          1.655          0.167          0.000         -6.236         13.279
          1.661          0.160          0.000         -6.261         13.395
          1.668          0.153          0.000         -6.285         13.507
          1.675          0.147          0.000         -6.309         13.616
          1.681          0.140          0.000         -6.331         13.720
          1.688          0.133          0.000         -6.353         13.821
          1.695          0.127          0.000         -6.373         13.917
          1.701          0.120          0.000         -6.392         14.009
          1.708          0.113          0.000         -6.410         14.097
          1.715          0.107          0.000         -6.427         14.180
          1.721          0.100          0.000         -6.443         14.259
          1.728          0.093          0.000         -6.458         14.333
          1.735          0.087          0.000         -6.473         14.402
          1.741          0.080          0.000         -6.485         14.466
          1.748          0.073          0.000         -6.497         14.526
          1.755          0.067          0.000         -6.508         14.580
          1.761          0.060          0.000         -6.518         14.630
          1.768          0.053          0.000         -6.527         14.674
          1.775          0.047          0.000         -6.535         14.714
          1.781          0.040          0.000         -6.542         14.748
          1.788          0.033          0.000         -6.547         14.777
          1.795          0.027          0.000         -6.552         14.801
          1.801          0.020          0.000         -6.556         14.820
          1.808          0.013          0.000         -6.558         14.833
          1.815          0.007          0.000         -6.560         14.841
          1.821          0.000          0.000         -6.560         14.843
