             kx             ky    energy_plus   energy_minus
         -0.919          0.818         -4.513          7.325
         -0.919          0.838         -4.659          7.717
         -0.919          0.859         -4.797          8.105
         -0.919          0.879         -4.928          8.485
         -0.919          0.899         -5.051          8.855
         -0.919          0.919         -5.165          9.212
         -0.919          0.939         -5.270          9.553
         -0.919          0.960         -5.367          9.875
         -0.919          0.980         -5.454         10.174
         -0.919          1.000         -5.532         10.450
  
         -0.899         -1.000         -5.647         10.868
         -0.899         -0.980         -5.569         10.583
         -0.899         -0.960         -5.482         10.272
         -0.899         -0.939         -5.386          9.938
         -0.899         -0.919         -5.280          9.585
         -0.899         -0.899         -5.165          9.214
         -0.899         -0.879         -5.042          8.830
         -0.899         -0.859         -4.911          8.434
         -0.899         -0.838         -4.771          8.031
         -0.899         -0.818         -4.624          7.623
         -0.899         -0.798         -4.470          7.213
         -0.899         -0.778         -4.310          6.804
         -0.899         -0.758         -4.143          6.399
         -0.899         -0.737         -3.973          6.001
         -0.899         -0.717         -3.799          5.613
         -0.899         -0.697         -3.624          5.238
         -0.899         -0.677         -3.448          4.880
         -0.899         -0.657         -3.276          4.542
         -0.899         -0.636         -3.109          4.227
         -0.899         -0.616         -2.951          3.940
         -0.899         -0.596         -2.805          3.685
         -0.899         -0.576         -2.677          3.466
         -0.899         -0.556         -2.570          3.290
         -0.899         -0.535         -2.490          3.159
         -0.899         -0.515         -2.439          3.077
         -0.899         -0.495         -2.419          3.045
         -0.899         -0.475         -2.430          3.064
         -0.899         -0.455         -2.471          3.129
         -0.899         -0.434         -2.538          3.238
         -0.899         -0.414         -2.627          3.383
         -0.899         -0.394         -2.732          3.559
         -0.899         -0.374         -2.849          3.761
         -0.899         -0.354         -2.974          3.982
         -0.899         -0.333         -3.103          4.216
         -0.899         -0.313         -3.233          4.460
         -0.899         -0.293         -3.362          4.708
         -0.899         -0.273         -3.487          4.958
         -0.899         -0.253         -3.607          5.204
         -0.899         -0.232         -3.721          5.445
         -0.899         -0.212         -3.828          5.677
         -0.899         -0.192         -3.927          5.897
         -0.899         -0.172         -4.017          6.103
         -0.899         -0.152         -4.099          6.292
         -0.899         -0.131         -4.170          6.463
         -0.899         -0.111         -4.232          6.613
         -0.899         -0.091         -4.284          6.740
         -0.899         -0.071         -4.326          6.844
         -0.899         -0.051         -4.357          6.923
         -0.899         -0.030         -4.378          6.976
         -0.899         -0.010         -4.389          7.003
         -0.899          0.010         -4.389          7.003
         -0.899          0.030         -4.378          6.976
         -0.899          0.051         -4.357          6.923
         -0.899          0.071         -4.326          6.844
         -0.899          0.091         -4.284          6.740
         -0.899          0.111         -4.232          6.613
         -0.899          0.131         -4.170          6.463
         -0.899          0.152         -4.099          6.292
         -0.899          0.172         -4.017          6.103
         -0.899          0.192         -3.927          5.897
         -0.899          0.212         -3.828          5.677
         -0.899          0.232         -3.721          5.445
         -0.899          0.253         -3.607          5.204
         -0.899          0.273         -3.487          4.958
         -0.899          0.293         -3.362          4.708
         -0.899          0.313         -3.233          4.460
         -0.899          0.333         -3.103          4.216
         -0.899          0.354         -2.974          3.982
         -0.899          0.374         -2.849          3.761
         -0.899          0.394         -2.732          3.559
         -0.899          0.414         -2.627          3.383
         -0.899          0.434         -2.538          3.238
         -0.899          0.455         -2.471          3.129
         -0.899          0.475         -2.430          3.064
         -0.899          0.495         -2.419          3.045
         -0.899          0.515         -2.439          3.077
         -0.899          0.535         -2.490          3.159
         -0.899          0.556         -2.570          3.290
         -0.899          0.576         -2.677          3.466
         -0.899          0.596         -2.805          3.685
         -0.899          0.616         -2.951          3.940
         -0.899          0.636         -3.109          4.227
         -0.899          0.657         -3.276          4.542
         -0.899          0.677         -3.448          4.880
         -0.899          0.697         -3.624          5.238
         -0.899          0.717         -3.799          5.613
         -0.899          0.737         -3.973          6.001
         -0.899          0.758         -4.143          6.399
         -0.899          0.778         -4.310          6.804
         -0.899          0.798         -4.470          7.213
         -0.899          0.818         -4.624          7.623
         -0.899          0.838         -4.771          8.031
         -0.899          0.859         -4.911          8.434
         -0.899          0.879         -5.042          8.830
         -0.899          0.899         -5.165          9.214
         -0.899          0.919         -5.280          9.585
         -0.899          0.939         -5.386          9.938
         -0.899          0.960         -5.482         10.272
         -0.899          0.980         -5.569         10.583
         -0.899          1.000         -5.647         10.868
  
         -0.879         -1.000         -5.753         11.266
         -0.879         -0.980         -5.675         10.971
         -0.879         -0.960         -5.588         10.649
         -0.879         -0.939         -5.491         10.304
         -0.879         -0.919         -5.385          9.938
         -0.879         -0.899         -5.271          9.554
         -0.879         -0.879         -5.147          9.155
         -0.879         -0.859         -5.015          8.745
         -0.879         -0.838         -4.874          8.327
         -0.879         -0.818         -4.726          7.903
         -0.879         -0.798         -4.570          7.476
         -0.879         -0.778         -4.407          7.050
         -0.879         -0.758         -4.238          6.627
         -0.879         -0.737         -4.064          6.210
         -0.879         -0.717         -3.885          5.802
         -0.879         -0.697         -3.703          5.406
         -0.879         -0.677         -3.520          5.025
         -0.879         -0.657         -3.338          4.662
         -0.879         -0.636         -3.159          4.320
         -0.879         -0.616         -2.987          4.004
         -0.879         -0.596         -2.824          3.717
         -0.879         -0.576         -2.675          3.464
         -0.879         -0.556         -2.546          3.249
         -0.879         -0.535         -2.440          3.078
         -0.879         -0.515         -2.362          2.955
         -0.879         -0.495         -2.315          2.883
         -0.879         -0.475         -2.302          2.862
         -0.879         -0.455         -2.321          2.892
         -0.879         -0.434         -2.370          2.969
         -0.879         -0.414         -2.445          3.086
         -0.879         -0.394         -2.540          3.239
         -0.879         -0.374         -2.650          3.421
         -0.879         -0.354         -2.770          3.624
         -0.879         -0.333         -2.896          3.843
         -0.879         -0.313         -3.025          4.074
         -0.879         -0.293         -3.154          4.310
         -0.879         -0.273         -3.280          4.549
         -0.879         -0.253         -3.401          4.786
         -0.879         -0.232         -3.517          5.018
         -0.879         -0.212         -3.625          5.241
         -0.879         -0.192         -3.726          5.454
         -0.879         -0.172         -3.817          5.653
         -0.879         -0.152         -3.900          5.836
         -0.879         -0.131         -3.973          6.001
         -0.879         -0.111         -4.036          6.146
         -0.879         -0.091         -4.089          6.270
         -0.879         -0.071         -4.132          6.370
         -0.879         -0.051         -4.164          6.447
         -0.879         -0.030         -4.185          6.498
         -0.879         -0.010         -4.196          6.524
         -0.879          0.010         -4.196          6.524
         -0.879          0.030         -4.185          6.498
         -0.879          0.051         -4.164          6.447
         -0.879          0.071         -4.132          6.370
         -0.879          0.091         -4.089          6.270
         -0.879          0.111         -4.036          6.146
         -0.879          0.131         -3.973          6.001
         -0.879          0.152         -3.900          5.836
         -0.879          0.172         -3.817          5.653
         -0.879          0.192         -3.726          5.454
         -0.879          0.212         -3.625          5.241
         -0.879          0.232         -3.517          5.018
         -0.879          0.253         -3.401          4.786
         -0.879          0.273         -3.280          4.549
         -0.879          0.293         -3.154          4.310
         -0.879          0.313         -3.025          4.074
         -0.879          0.333         -2.896          3.843
         -0.879          0.354         -2.770          3.624
         -0.879          0.374         -2.650          3.421
         -0.879          0.394         -2.540          3.239
         -0.879          0.414         -2.445          3.086
         -0.879          0.434         -2.370          2.969
         -0.879          0.455         -2.321          2.892
         -0.879          0.475         -2.302          2.862
         -0.879          0.495         -2.315          2.883
         -0.879          0.515         -2.362          2.955
         -0.879          0.535         -2.440          3.078
         -0.879          0.556         -2.546          3.249
         -0.879          0.576         -2.675          3.464
         -0.879          0.596         -2.824          3.717
         -0.879          0.616         -2.987          4.004
         -0.879          0.636         -3.159          4.320
         -0.879          0.657         -3.338          4.662
         -0.879          0.677         -3.520          5.025
         -0.879          0.697         -3.703          5.406
         -0.879          0.717         -3.885          5.802
         -0.879          0.737         -4.064          6.210
         -0.879          0.758         -4.238          6.627
         -0.879          0.778         -4.407          7.050
         -0.879          0.798         -4.570          7.476
         -0.879          0.818         -4.726          7.903
         -0.879          0.838         -4.874          8.327
         -0.879          0.859         -5.015          8.745
         -0.879          0.879         -5.147          9.155
         -0.879          0.899         -5.271          9.554
         -0.879          0.919         -5.385          9.938
         -0.879          0.939         -5.491         10.304
         -0.879          0.960         -5.588         10.649
         -0.879          0.980         -5.675         10.971
         -0.879          1.000         -5.753         11.266
  
         -0.859         -1.000         -5.849         11.640
         -0.859         -0.980         -5.771         11.335
         -0.859         -0.960         -5.684         11.003
         -0.859         -0.939         -5.587         10.647
         -0.859         -0.919         -5.481         10.268
         -0.859         -0.899         -5.366          9.872
         -0.859         -0.879         -5.242          9.460
         -0.859         -0.859         -5.109          9.036
         -0.859         -0.838         -4.968          8.603
         -0.859         -0.818         -4.818          8.164
         -0.859         -0.798         -4.661          7.722
         -0.859         -0.778         -4.496          7.279
